user,text,clean_text
MarkHodder3,@JoeBiden And we’ll find out who won in 2026...,"['joebiden', 'find', '2026']"
K87327961G,@JoeBiden Your Democratic Nazi Party cannot be trusted https://t.co/boNiI0vjL0,"['joebiden', 'democratic', 'nazi', 'party', 'can', 'not', 'trusted']"
OldlaceA,@JoeBiden So did Lying Barr,"['joebiden', 'lying', 'barr']"
penblogger,@JoeBiden It's clear you didnt compose this tweet. You cant put ONE sentence together and they usually last 10 minutes.,"['joebiden', 'clear', 'didnt', 'compose', 'tweet', 'cant', 'put', 'one', 'sentence', 'together', 'usually', 'last', '10', 'minute']"
Aquarian0264,@JoeBiden I will vote in person thank you.,"['joebiden', 'vote', 'person', 'thank']"
FabrizioBenass4,@JoeBiden #ALL LIVES MATTER #HUMAN RIGHTS HELP FOR YOUNG MATTEO BENASSI FOR HUMAN RIGHTS FROM ITALY/EUROPE..A PRERO… https://t.co/M94qYHUUs4,"['joebiden', 'life', 'matter', 'human', 'right', 'help', 'young', 'matter', 'benassi', 'human', 'right', 'italy', 'europe', 'pero']"
motter_sue,@JoeBiden @JustVent6 As if you kno how he voted!!,"['joebiden', 'justvent6', 'no', 'voted']"
sandraanne324,@JoeBiden Looks like your not they only sleepy Democrat Joe.  https://t.co/nDnpuWuRFX,"['joebiden', 'look', 'like', 'sleepy', 'democrat', 'joe']"
pepvet,"@JoeBiden @PleaseJustDoNot Youre son benefitted from your being VP, we should have, too, but we never did.","['joebiden', 'pleasejustdonot', 'youre', 'son', 'benefitted', 'vp', 'never']"
LauraD1216,@JoeBiden https://t.co/52hTK0IqOj,['joebiden']
palaro2017,@JoeBiden Voter ID is required otherwise you Democrats will cheat..its been proven.  Have some integrity !,"['joebiden', 'voter', 'id', 'required', 'otherwise', 'democrat', 'cheat', 'proven', 'integrity']"
GeneEmerick68,@JoeBiden Scared to debate?,"['joebiden', 'scared', 'debate']"
JGarka,"@JoeBiden You would approve, its only way you could beat Pres Trump!!","['joebiden', 'would', 'approve', 'way', 'could', 'beat', 'pres', 'trump']"
candyisyummy333,@JoeBiden My standard reply to propaganda: https://t.co/Skq4oY6mhE,"['joebiden', 'standard', 'reply', 'propaganda']"
5h0rtie,"@JoeBiden @richardmarx Trouble is trump voted for :- person , woman , man , camera , TV . . .","['joebiden', 'richardmarx', 'trouble', 'trump', 'voted', 'person', 'woman', 'man', 'camera', 'tv']"
shut_up_stewart,@JoeBiden I honestly cannot comprehend how a country as important as the USA can fuck up its election system so bad… https://t.co/JmYf7HjQ4w,"['joebiden', 'honestly', 'can', 'not', 'comprehend', 'country', 'important', 'usa', 'fuck', 'election', 'system', 'bad']"
2think4reals,@JoeBiden Why?,['joebiden']
goVoteTrump,@JoeBiden He also runs his own Twitter. You should be able to as well.,"['joebiden', 'also', 'run', 'twitter', 'able', 'well']"
rollyr,@JoeBiden If you are absent. Hence “absentee” ballots.,"['joebiden', 'absent', 'hence', 'absentee', 'ballot']"
GeneEmerick68,"@JoeBiden Right, 4more years of Donald J Trump","['joebiden', 'right', '4more', 'year', 'donald', 'j', 'trump']"
lancehashtags,@JoeBiden https://t.co/0VTiANt7MY,['joebiden']
Belleamewithtia,@JoeBiden Why? So you can rig the election like you did 2016? Look how that worked out for y’all!,"['joebiden', 'rig', 'election', 'like', '2016', 'look', 'worked']"
magatweetpolice,@JoeBiden Old man you're afraid and incapable of debating Trump on any live stage.  Your handlers let you out once… https://t.co/9UI4y67LA8,"['joebiden', 'old', 'man', 'afraid', 'incapable', 'debating', 'trump', 'live', 'stage', 'handler', 'let']"
RabbitEaster1,"@JoeBiden BS… He’s the president… That doesn’t mean I should. Try to run three sentences together that actually makes sense, dementia Joe.","['joebiden', 'b', 'president', 'mean', 'try', 'run', 'three', 'sentence', 'together', 'actually', 'make', 'sense', 'dementia', 'joe']"
metzgerl,@JoeBiden Are you a liar or ignorant? There is a difference between absentee ballots and mail in voting. You know a… https://t.co/Ne2Q4V5PDR,"['joebiden', 'liar', 'ignorant', 'difference', 'absentee', 'ballot', 'mail', 'voting', 'know']"
Zen_Trixie,@JoeBiden Our troops vote by mail. We should be able to as well.,"['joebiden', 'troop', 'vote', 'mail', 'able', 'well']"
JDebarre,@JoeBiden Absolutely,"['joebiden', 'absolutely']"
pookeypies7,@JoeBiden It wasn't the same ballots and you know it Stop it,"['joebiden', 'ballot', 'know', 'stop']"
BackinTheBlu,@JoeBiden Absentee voting and blanket balloting are different things. You know it. We know it. Everyone knows it.… https://t.co/6Kk2WY25sL,"['joebiden', 'absentee', 'voting', 'blanket', 'balloting', 'different', 'thing', 'know', 'know', 'everyone', 'know']"
sadiesm20755403,@JoeBiden Correct,"['joebiden', 'correct']"
larkwick,@JoeBiden Option of absentee = choice. All mail ballots = force of gov... see the diff?,"['joebiden', 'option', 'absentee', 'choice', 'mail', 'ballot', 'force', 'gov', 'see', 'diff']"
mathewrexy,@JoeBiden Donald Trump Built The Wall. U Should Too!,"['joebiden', 'donald', 'trump', 'built', 'wall', 'u']"
ArronSummey,@JoeBiden https://t.co/HAIFKLYd61,['joebiden']
Mike53146436,"@JoeBiden It's objectively easier to tamper with mail in votes, and politicians have already been involved in fraud… https://t.co/WwOfTV3z2g","['joebiden', 'objectively', 'easier', 'temper', 'mail', 'vote', 'politician', 'already', 'involved', 'fraud']"
LacosteOliver,@JoeBiden We can’t trust you or the Democrats!,"['joebiden', 'trust', 'democrat']"
Lorabytheshore1,@JoeBiden https://t.co/raB2r01V34,['joebiden']
TousekE,@JoeBiden 👀 Widespread mail in ballots are a Russian dream!! Just imagine the Russians flooding voting districts wi… https://t.co/eHw35LeFRO,"['joebiden', 'eye', 'widespread', 'mail', 'ballot', 'russian', 'dream', 'imagine', 'russian', 'flooding', 'voting', 'district', 'wi']"
Wayne36875880,"@JoeBiden Um, Joe? Absentee balloting more often than not, gets overlooked when being counted, which leads to under… https://t.co/3cAEEFrXPt","['joebiden', 'um', 'joe', 'absentee', 'balloting', 'often', 'get', 'overlooked', 'counted', 'lead']"
fife8169,@JoeBiden Must show I’d or proof of citizenship.,"['joebiden', 'must', 'show', 'proof', 'citizenship']"
RealLastBestHo1,@JoeBiden Donald Trump doesn't pay taxes.  You shouldn't too.,"['joebiden', 'donald', 'trump', 'pay', 'tax']"
JudybellesLife,@JoeBiden So did a dead cat.,"['joebiden', 'dead', 'cat']"
noneofyourbyz,@JoeBiden Totally different.. He voted absentee.,"['joebiden', 'totally', 'different', 'voted', 'absentee']"
mloar29,@JoeBiden I am. For you!,['joebiden']
ChadStJohn8,@JoeBiden https://t.co/CAGzqi5uG2    Ask Jerry Nadler about mail in@voting Joe,"['joebiden', 'ask', 'jerry', 'ladder', 'mail', 'voting', 'joe']"
TyroneW79180291,@JoeBiden THATS ABSOLUTELY CORRECT.,"['joebiden', 'thats', 'absolutely', 'correct']"
WReginald69,@JoeBiden You must think their is an advantage for you to be pushing this vote from home agenda so hard... don’t pr… https://t.co/U4oaeoTGeK,"['joebiden', 'must', 'think', 'advantage', 'pushing', 'vote', 'home', 'agenda', 'hard', 'pr']"
miconmike,@JoeBiden pretty sure absentee voting is allowed in all 50 states.  the process already exists and is blessed by al… https://t.co/waWE7XXIgJ,"['joebiden', 'pretty', 'sure', 'absentee', 'voting', 'allowed', '50', 'state', 'process', 'already', 'exists', 'blessed', 'al']"
brooktL,@JoeBiden My dog didn't receive one in the mail yet. Can you rectify this please.,"['joebiden', 'dog', 'receive', 'one', 'mail', 'yet', 'rectify', 'please']"
charty3026,"@JoeBiden If your on the side of right, why all the sneaky tricks? https://t.co/KqxgGWqjJK https://t.co/LYAjf8DxUc","['joebiden', 'side', 'right', 'sneaky', 'trick']"
RestorationHiFi,@JoeBiden Would like to add: https://t.co/GNTaT8EClx,"['joebiden', 'would', 'like', 'add']"
Koolman35090573,@JoeBiden Yes and iam vote for u,"['joebiden', 'yes', 'iam', 'vote', 'u']"
Appeal2DaStone,@JoeBiden Absentee*,"['joebiden', 'absentee']"
MattMichiel19,@JoeBiden no he didn’t,['joebiden']
themicrokid,@JoeBiden Vote by mail should only be used as part of absentee mail process. Not as proposed by Democrats where the… https://t.co/bZ849u2Nu3,"['joebiden', 'vote', 'mail', 'used', 'part', 'absentee', 'mail', 'process', 'proposed', 'democrat']"
cass_audry,@JoeBiden I understand you don't quite have all your facilities Joe; but voting by absentee ballot and voting by ma… https://t.co/pS09V1rmU9,"['joebiden', 'understand', 'quite', 'facility', 'joe', 'voting', 'absentee', 'ballot', 'voting']"
stealth_mann,"@JoeBiden The President has private security and so do you soo, where's mine?","['joebiden', 'president', 'private', 'security', 'soo', 'mine']"
RestorationHiFi,@JoeBiden @JoeBiden trying to RIG the election because he cannot win otherwise.  Get your facts straight as well...… https://t.co/cf9nr9DUOn,"['joebiden', 'joebiden', 'trying', 'rig', 'election', 'can', 'not', 'win', 'otherwise', 'get', 'fact', 'straight', 'well']"
jennifermaga12,@JoeBiden Donald Trump is President and King. You will never be President cc @realDonaldTrump #maga,"['joebiden', 'donald', 'trump', 'president', 'king', 'never', 'president', 'cc', 'realdonaldtrump', 'manga']"
Jesmilia,@JoeBiden Not true liar!,"['joebiden', 'true', 'liar']"
sagarp77777,@JoeBiden There's already evm issues in India be careful,"['joebiden', 'already', 'em', 'issue', 'india', 'careful']"
theAmerican1780,@JoeBiden https://t.co/JHxpiOzYDM,['joebiden']
jonezy2dope,"@JoeBiden Hey y’all, we can both vote Trump out and not elect Biden at the same time. #MojoJoJo.","['joebiden', 'hey', 'vote', 'trump', 'elect', 'biden', 'time', 'mojojojo']"
jlbabnatl,"@JoeBiden Yes, yes @POTUS did, he was indisposed elsewhere conducting business instead of sitting in front of the t… https://t.co/1x3QS2Mrpx","['joebiden', 'yes', 'yes', 'pot', 'disposed', 'elsewhere', 'conducting', 'business', 'instead', 'sitting', 'front']"
ljucht,"@JoeBiden An absentee ballot, which dates back to the Civil War era, is NOT the same as “mail in voting”.  Common s… https://t.co/rmog5l3iHH","['joebiden', 'absentee', 'ballot', 'date', 'back', 'civil', 'war', 'era', 'mail', 'voting', 'common']"
VandyDal,@JoeBiden Trump isn't the problem. It's those who handle the ballots. https://t.co/735ZskcgAq,"['joebiden', 'trump', 'problem', 'handle', 'ballot']"
pownder99,@JoeBiden Donald Trump spoke to Chris Wallace for an hour. You should be able to as well.,"['joebiden', 'donald', 'trump', 'spoke', 'chris', 'wallace', 'hour', 'able', 'well']"
Bobby92276752,@JoeBiden Exactly,"['joebiden', 'exactly']"
jimdecourcy,@JoeBiden No he didn't. He voted via absentee ballot. Big difference. You would think that a former Vice President would lnow that.,"['joebiden', 'voted', 'via', 'absentee', 'ballot', 'big', 'difference', 'would', 'think', 'former', 'vice', 'president', 'would', 'now']"
HoneyJ30292314,@JoeBiden Absentee Ballot u #Moron !,"['joebiden', 'absentee', 'ballot', 'u', 'moon']"
MarkSMundyUSA,@JoeBiden Collapsed distinctions again,"['joebiden', 'collapsed', 'distinction']"
PainFreeLove,@JoeBiden We had best protect the #USPS from the hands of #evil.   #Trumpism is a #cancer that must be scraped out… https://t.co/290yPJjeWr,"['joebiden', 'best', 'protect', 'us', 'hand', 'evil', 'trump', 'cancer', 'must', 'scraped']"
LewisBrandon239,@JoeBiden Then why is there video of him voting in person in NYC in ‘16?,"['joebiden', 'video', 'voting', 'person', 'nyc', '16']"
Lolsonrealtor,@JoeBiden Don’t be fooled by this. There is a difference between mail in voting and absentee voting. Mail in voting… https://t.co/BPgRc5Lh1s,"['joebiden', 'fooled', 'difference', 'mail', 'voting', 'absentee', 'voting', 'mail', 'voting']"
yana_yudich,@JoeBiden Who’s the damn joker posting this on his twitter? You know Joe can’t think that well by himself..,"['joebiden', 'damn', 'joker', 'posting', 'twitter', 'know', 'joe', 'think', 'well']"
elvincan2,"@JoeBiden Vote by mail is not the same as Absentee or accommodation voting. How would you stop CCP, Russia etc from sending in votes?","['joebiden', 'vote', 'mail', 'absentee', 'accommodation', 'voting', 'would', 'stop', 'ccp', 'russia', 'etc', 'sending', 'vote']"
Complete_Dallas,@JoeBiden I am ok with voting by mail if accompanied by a photo copy of your state ID or DL. Maybe a photo copy of… https://t.co/LAe70msMxt,"['joebiden', 'ok', 'voting', 'mail', 'accompanied', 'photo', 'copy', 'state', 'id', 'dl', 'maybe', 'photo', 'copy']"
ddk1,@JoeBiden LIAR https://t.co/tcHnGtaAhe,"['joebiden', 'liar']"
PhillyRepub1,"@JoeBiden @Twitter fluffing numbers again and interfering in an election. The corrupt, vicious, dirty Democrats can… https://t.co/MfiGX3V4SD","['joebiden', 'twitter', 'stuffing', 'number', 'interfering', 'election', 'corrupt', 'vicious', 'dirty', 'democrat']"
Erunner110,@JoeBiden You are dishonest as all get out!  Everyone can do what Trump did IF they qualify. Stop the gas lighting… https://t.co/q1dc0XkMPX,"['joebiden', 'dishonest', 'get', 'everyone', 'trump', 'qualify', 'stop', 'gas', 'lighting']"
HeyLady1776,@JoeBiden It seems the Democrats are the one doing the majority of “voter fraud.” 🤨🤨🤨https://t.co/lPWs5Uta4m,"['joebiden', 'seems', 'democrat', 'one', 'majority', 'voter', 'fraud', 'face', 'raised', 'eyebrow', 'face', 'raised', 'eyebrow', 'face', 'raised', 'eyebrow']"
J_K_Oh,@JoeBiden Big difference between an absentee ballot and leftist version of vote by mail,"['joebiden', 'big', 'difference', 'absentee', 'ballot', 'leftist', 'version', 'vote', 'mail']"
gjrissky,"@JoeBiden It's called an ""absentee ballot."" Requires proof of citizenship. Used it many times while I was deployed… https://t.co/xZxyDgqeEG","['joebiden', 'called', 'absentee', 'ballot', 'requires', 'proof', 'citizenship', 'used', 'many', 'time', 'deployed']"
RobertNardone06,@JoeBiden https://t.co/TxjGDUUVzn,['joebiden']
TexasBr64310863,@JoeBiden Stop trying to increase Obama’s wealth and power.,"['joebiden', 'stop', 'trying', 'increase', 'obama', 'wealth', 'power']"
thedemureshark,@JoeBiden Nope. I’m voting for Trump in person.,"['joebiden', 'note', 'voting', 'trump', 'person']"
Tammihazard2,@JoeBiden No you democrats are pushing that so you can cheat,"['joebiden', 'democrat', 'pushing', 'cheat']"
MLB37167,@JoeBiden We got a taste of what life would be like under Dem control while watching the #BarrHearing.  All did Ds… https://t.co/fJ9pLenLxE,"['joebiden', 'got', 'taste', 'life', 'would', 'like', 'dem', 'control', 'watching', 'barrhearing', 'd']"
ebw1957,@JoeBiden addle brain...,"['joebiden', 'saddle', 'brain']"
TexasBr64310863,@JoeBiden No we shouldn’t. That is the most proven corrupt way to vote.,"['joebiden', 'proven', 'corrupt', 'way', 'vote']"
SteelRaptor,"@JoeBiden Local and state corruption is one thing, vote-in corruption on the national level cannot be tolerated...","['joebiden', 'local', 'state', 'corruption', 'one', 'thing', 'vote', 'corruption', 'national', 'level', 'can', 'not', 'tolerated']"
maurice_dichard,@JoeBiden Absentee ballots are ok. There’s a process to obtain one. You have to show up at your local city hall to… https://t.co/wri4lMBNv9,"['joebiden', 'absentee', 'ballot', 'ok', 'process', 'obtain', 'one', 'show', 'local', 'city', 'hall']"
Corndiggity,"@JoeBiden Those choosing to vote absentee should do so, just like any other election. However they should go throug… https://t.co/ATUFCiW9L8","['joebiden', 'choosing', 'vote', 'absentee', 'like', 'election', 'however', 'go', 'through']"
DennisBess11,"@JoeBiden I live in ca have been voting by mail for years, Democrats always win.","['joebiden', 'live', 'ca', 'voting', 'mail', 'year', 'democrat', 'always', 'win']"
TammyTsai365,@JoeBiden Absentee. You give 1/2 the truth. Completely different process and you know it.,"['joebiden', 'absentee', 'give', '1', '2', 'truth', 'completely', 'different', 'process', 'know']"
Boxer751,@JoeBiden 👇👇👇👇👇 https://t.co/20TZGMq9yR,"['joebiden', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing']"
joelhthornton,"@JoeBiden We all can, under special circumstances as provided by state law! Your writers are not too bright.","['joebiden', 'special', 'circumstance', 'provided', 'state', 'law', 'writer', 'bright']"
fishhunt247365,@JoeBiden Suckers,"['joebiden', 'sucker']"
Kadanial1,@JoeBiden He voted absentee because he was ABSENT. People who are voting by mail who are perfectly capable of going… https://t.co/kcGTXNct6k,"['joebiden', 'voted', 'absentee', 'absent', 'people', 'voting', 'mail', 'perfectly', 'capable', 'going']"
Boxer751,"@JoeBiden Debate President Trump,  Debate President Trump,  Debate President Trump, Debate President Trump!!!!!!!","['joebiden', 'debate', 'president', 'trump', 'debate', 'president', 'trump', 'debate', 'president', 'trump', 'debate', 'president', 'trump']"
mtbiker6975,@JoeBiden False Get your shit straight,"['joebiden', 'false', 'get', 'shit', 'straight']"
authentically45,"@JoeBiden On November 3rd, Democrats are going to set post offices on fire. Democrats know Joe will lose the election. #Trump2020Landslide","['joebiden', 'november', '3rd', 'democrat', 'going', 'set', 'post', 'office', 'fire', 'democrat', 'know', 'joe', 'lose', 'election', 'trump2020landslide']"
Count_Rollins,@JoeBiden Mail in or absentee? There is a difference.,"['joebiden', 'mail', 'absentee', 'difference']"
jr_pettaman,@JoeBiden He is the President for God’s Sake. Not apples for apples. Joe you should beg for God’s forgiveness for g… https://t.co/NJQe4r3Igu,"['joebiden', 'president', 'god', 'sake', 'apple', 'apple', 'joe', 'beg', 'god', 'forgiveness', 'g']"
crel2112,@JoeBiden If you can Riot. You can vote in person.,"['joebiden', 'riot', 'vote', 'person']"
NOTASERF_VASSAL,@JoeBiden You should vote via Pony Express.,"['joebiden', 'vote', 'via', 'pony', 'express']"
Lucycar96695897,@JoeBiden @JoeBiden is a man who throws blame and constantly knocks The president on divide of the country BUT all… https://t.co/737P4pFk0S,"['joebiden', 'joebiden', 'man', 'throw', 'blame', 'constantly', 'knock', 'president', 'divide', 'country']"
sandeep9285,@JoeBiden Trump 2020,"['joebiden', 'trump', '2020']"
EllDevon,@JoeBiden But will your idea pass the sniff test.,"['joebiden', 'idea', 'pas', 'sniff', 'test']"
Therealtdavis,@JoeBiden Not the same thing Joe I think you know that.  It's already been proven mail in ballots are a disaster.… https://t.co/7H9rosNc9F,"['joebiden', 'thing', 'joe', 'think', 'know', 'already', 'proven', 'mail', 'ballot', 'disaster']"
LeliaUSA1,@JoeBiden Voting in person will work. 6 ft apart. Dems are desperate to cheat with mail in voting.,"['joebiden', 'voting', 'person', 'work', '6', 'ft', 'apart', 'dems', 'desperate', 'cheat', 'mail', 'voting']"
BillyJoeOwens,@JoeBiden Oh and if you can go to the store then you can go to the booths. Election Day should be Nov.1-2-3-4th the… https://t.co/BKPQcfby34,"['joebiden', 'oh', 'go', 'store', 'go', 'booth', 'election', 'day', 'nov', '1', '2', '3', '4th']"
MikeGil6246,@JoeBiden @cindyglenn214 Absentee is different than all mail in voting.,"['joebiden', 'cindyglenn214', 'absentee', 'different', 'mail', 'voting']"
mdjohnson9,@JoeBiden Everybody has been able to vote by mail for years. It's called absentee voting. Not the same as indiscrim… https://t.co/gQ9JPL4Yah,"['joebiden', 'everybody', 'able', 'vote', 'mail', 'year', 'called', 'absentee', 'voting', 'indiscrim']"
ytkkaku4816pas1,"@JoeBiden do you have own ideas ???don’t imitate with better than you,,","['joebiden', 'idea', 'imitate', 'better']"
JeanMinistries,@JoeBiden This guy is seriously sick!!,"['joebiden', 'guy', 'seriously', 'sick']"
LagoMaggorie,@JoeBiden Absentee ballot knucklehead know the differences,"['joebiden', 'absentee', 'ballot', 'knucklehead', 'know', 'difference']"
debiegijoe,@JoeBiden What about the dead people do they count ?? You really hate America don’t you ??,"['joebiden', 'dead', 'people', 'count', 'really', 'hate', 'america']"
MD_STAT,@JoeBiden bananas are yummy,"['joebiden', 'banana', 'dummy']"
asjlive,@JoeBiden Don't care how I vote I'm not voting for you.,"['joebiden', 'care', 'vote', 'voting']"
chachmalone,"@JoeBiden A party that lost 33,000 emails wants us to vote by mail? Me thinks that is why they are still spreading… https://t.co/6oudIx1Bii","['joebiden', 'party', 'lost', '33', '000', 'email', 'want', 'u', 'vote', 'mail', 'think', 'still', 'spreading']"
sacred_horse,"@JoeBiden Voted Absentee not by ""mail""!","['joebiden', 'voted', 'absentee', 'mail']"
CynthiaLaw6,@JoeBiden You have to apply for an absentee ballot. No just receive several randomly in the mail. Tell the truth for once!!!,"['joebiden', 'apply', 'absentee', 'ballot', 'receive', 'several', 'randomly', 'mail', 'tell', 'truth']"
michell4trump20,"@JoeBiden Dear Joe,  dems lie, bait, attach and have nothing to stand on expect hatred of POTUS founded on NS of fa… https://t.co/V7ugkBNRsT","['joebiden', 'dear', 'joe', 'dems', 'lie', 'bait', 'attach', 'nothing', 'stand', 'expect', 'hatred', 'pot', 'founded', 'n', 'fa']"
karmannptny,"@JoeBiden Voted illegally by mail. There, I fixed it for ya. He cannot be a resident of Mar a Lago, since it’s a business.","['joebiden', 'voted', 'illegally', 'mail', 'fixed', 'ya', 'can', 'not', 'resident', 'mar', 'lago', 'since', 'business']"
Bobbydino21,@JoeBiden No Joe.,"['joebiden', 'joe']"
Demcytheater,"@JoeBiden A vote for Biden is a Vote for more dead Americans.  Yes, I know, so is a vote for Donald Trump.  I thoug… https://t.co/YVWDRYLq7x","['joebiden', 'vote', 'biden', 'vote', 'dead', 'american', 'yes', 'know', 'vote', 'donald', 'trump', 'though']"
HeyLady1776,@JoeBiden Voting fraud ! https://t.co/ejw0HxP1xH,"['joebiden', 'voting', 'fraud']"
theVerbalghost,"@JoeBiden You can, called absentee ballot","['joebiden', 'called', 'absentee', 'ballot']"
diazrr4,@JoeBiden Joe Biden can't win in an open and fair election,"['joebiden', 'joe', 'biden', 'win', 'open', 'fair', 'election']"
onilee53,@JoeBiden There you go again. Spin it to make it sounds like he did something he is against. He voted by mail becau… https://t.co/Wnoll8vQW9,"['joebiden', 'go', 'spin', 'make', 'sound', 'like', 'something', 'voted', 'mail', 'beau']"
BillyJoeOwens,@JoeBiden What happens when YOUR cronies EVIL PLAN fails? Then republicans win for the next 30 yrs?,"['joebiden', 'happens', 'copy', 'evil', 'plan', 'fails', 'republican', 'win', 'next', '30', 'yr']"
mariawelter6,@JoeBiden Shut. Up.,"['joebiden', 'shut']"
GoRejoicing,@JoeBiden ~ YEAH BUT he’s above the law… and above the fray. https://t.co/ZFX4blNISW,"['joebiden', 'yeah', 'law', 'fray']"
GuyBeaumont,@JoeBiden Donald Trump is voting for Donald Trump. You should be able to as well.,"['joebiden', 'donald', 'trump', 'voting', 'donald', 'trump', 'able', 'well']"
IvoryMosley,@JoeBiden 94 Crime Bill,"['joebiden', '94', 'crime', 'bill']"
SharoninOkie,@JoeBiden Crooked and Creepy is what Biden stands for. Doesn’t have the memory left to remember,"['joebiden', 'crooked', 'creepy', 'biden', 'stand', 'memory', 'left', 'remember']"
SXY247,@JoeBiden Why so you &amp; Mick Obama can win by fraud?,"['joebiden', 'amp', 'mick', 'obama', 'win', 'fraud']"
chachacha3869,"@JoeBiden Last I checked anyone can get an absentee ballot , as long as they are alive and a human . People should… https://t.co/jAXcGX1etn","['joebiden', 'last', 'checked', 'anyone', 'get', 'absentee', 'ballot', 'long', 'alive', 'human', 'people']"
Dogg_dad80,@JoeBiden https://t.co/ziiCsulIpJ,['joebiden']
sherry1138,@JoeBiden .@realDonaldTrump passed a cognitive test. You should be able to as well.,"['joebiden', 'realdonaldtrump', 'passed', 'cognitive', 'test', 'able', 'well']"
SPTCO83,@JoeBiden I will go personally hand the Ballot for Joe Biden to the Voting Registar officer for counting.,"['joebiden', 'go', 'personally', 'hand', 'ballot', 'joe', 'biden', 'voting', 'register', 'officer', 'counting']"
Hafforr,@JoeBiden By not telling the whole story you are a liar,"['joebiden', 'telling', 'whole', 'story', 'liar']"
ZibaLady1,"@JoeBiden Bernie Sanders campaign co-chairwoman Nina Turner said: ""Endorsing Joe Biden for president would be like… https://t.co/uVWZ2omYVI","['joebiden', 'bernie', 'sander', 'campaign', 'co', 'chairwoman', 'nina', 'turner', 'said', 'endorsing', 'joe', 'biden', 'president', 'would', 'like']"
unclezgolf,@JoeBiden 2 months all you'll be able to do is lick a stamp with your DROOL,"['joebiden', '2', 'month', 'able', 'lick', 'stamp', 'room']"
12GASHOTGUN,"@JoeBiden WHAT A MARVELOUS DEDUCTION ""JOLLY JOE"" !!!!!!!!!!!!!!!!!!!!!","['joebiden', 'marvelous', 'deduction', 'jolly', 'joe']"
xierh5,@JoeBiden Joe get you head out of your ass...I mean basement!,"['joebiden', 'joe', 'get', 'head', 'as', 'mean', 'basement']"
GentlemenToxic,@JoeBiden With an ID?,"['joebiden', 'id']"
tentacle_pup,"@JoeBiden @brat2381 I will, &amp; your name will have a check next to it on this: https://t.co/veEYCudAdk","['joebiden', 'brat2381', 'amp', 'name', 'check', 'next']"
Duhla5,"@JoeBiden Absentee ballot Much different than bulk mailed ballots. You know that, but @JoeBiden will say anything","['joebiden', 'absentee', 'ballot', 'much', 'different', 'bulk', 'mailed', 'ballot', 'know', 'joebiden', 'say', 'anything']"
chevjoe,"@JoeBiden Get with the times... mail? Then allow voting via a website... encryption, data governence, unique identi… https://t.co/GBuNXRwg4O","['joebiden', 'get', 'time', 'mail', 'allow', 'voting', 'via', 'website', 'encryption', 'data', 'governance', 'unique', 'ident']"
RJDeplorable,@JoeBiden 🤣😂 thats why my dead neighbor still gets a ballot.  Her husband throws them away. Democrats will cheat like they always do!,"['joebiden', 'rolling', 'floor', 'laughing', 'face', 'tear', 'joy', 'thats', 'dead', 'neighbor', 'still', 'get', 'ballot', 'husband', 'throw', 'away', 'democrat', 'cheat', 'like', 'always']"
PatriciaABever2,@JoeBiden I hate stupid people ( trumpkins )!! VOTE BIDEN BEFORE ALL AMERICANS ARE INFECTED WITH trump AS PRESIDENT… https://t.co/ehC2OGPGDA,"['joebiden', 'hate', 'stupid', 'people', 'pumpkin', 'vote', 'biden', 'american', 'infected', 'trump', 'president']"
SHARHAIR,"@JoeBiden 1,000s of ""protesters"" have gathered in mass gatherings for 50+ days straight with no apparent outbreak/s… https://t.co/fIOZmY5WJB","['joebiden', '1', '000s', 'protester', 'gathered', 'mass', 'gathering', '50', 'day', 'straight', 'apparent', 'outbreak']"
Aniquery,@JoeBiden How high can you jump Joe Biden if China asked you Joe Biden to jump?,"['joebiden', 'high', 'jump', 'joe', 'biden', 'china', 'asked', 'joe', 'biden', 'jump']"
Sunnysunny2day,"@JoeBiden I want to vote in person.  IN PERSON.  Why should we have to mail them in.  You know as well as I do, hal… https://t.co/3vc0HNYeQQ","['joebiden', 'want', 'vote', 'person', 'person', 'mail', 'know', 'well', 'hal']"
Patriot79Baker,"@JoeBiden Whatever little 20-something policy wonk wrote this on behalf of Creepy Uncle Joe, first, I hope he hasn'… https://t.co/aoEi01T2zb","['joebiden', 'whatever', 'little', '20', 'something', 'policy', 'work', 'wrote', 'behalf', 'creepy', 'uncle', 'joe', 'first', 'hope']"
patriotlove74,@JoeBiden Do a live debate with him and I’ll consider it.,"['joebiden', 'live', 'debate', 'consider']"
QWarrior2020,@JoeBiden Who would vote for this mess 👇👇👇👇👇 https://t.co/H6loTiAjSk,"['joebiden', 'would', 'vote', 'mess', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing', 'backhand', 'index', 'pointing']"
DanHugh86409520,@JoeBiden Cheater,"['joebiden', 'theater']"
1972cad1,@JoeBiden No!,['joebiden']
DeepSouthProud,"@JoeBiden There is no need for 330 million Americans to vote by mail. Go back to bed, Joe.","['joebiden', 'need', '330', 'million', 'american', 'vote', 'mail', 'go', 'back', 'bed', 'joe']"
Ringo1256,@JoeBiden Derpity derp derp,"['joebiden', 'density', 'der', 'der']"
