user,text,clean_text
EbBahram,"@JoeBiden @BarackObama Curse this holy ignorance, deceiving people is a part of your holy ignorance.","['joebiden', 'barackobama', 'curse', 'holy', 'ignorance', 'receiving', 'people', 'part', 'holy', 'ignorance']"
gmouw_,@JoeBiden @BarackObama Really riding those coat tails pretty hard @JoeBiden,"['joebiden', 'barackobama', 'really', 'riding', 'coat', 'tail', 'pretty', 'hard', 'joebiden']"
caudill2888,"@JoeBiden @BarackObama Lol, Joe you've been I. Washington since the mid 70's &amp; tell me one thing you have done in 4… https://t.co/xEiGpWzHfr","['joebiden', 'barackobama', 'lol', 'joe', 'washington', 'since', 'mid', '70', 'amp', 'tell', 'one', 'thing', 'done', '4']"
bj_mckay_bear,@JoeBiden @BarackObama And the father of a crack head.,"['joebiden', 'barackobama', 'father', 'crack', 'head']"
A_RoomWithAView,@JoeBiden @BarackObama Eliminate student debt.   Medicare for all.   GND.  Stop pretending you care. You do NOT.,"['joebiden', 'barackobama', 'eliminate', 'student', 'debt', 'medical', 'gnd', 'stop', 'pretending', 'care']"
Bill_nova2,"@JoeBiden @BarackObama When you are a weak candidate with a lack of support and accomplishments, lean on previous p… https://t.co/0PH0JqJDbF","['joebiden', 'barackobama', 'weak', 'candidate', 'lack', 'support', 'accomplishment', 'lean', 'previous', 'p']"
johnnybui2020,@JoeBiden @BarackObama Working 9 months out of the year isn’t hard. The only thing easier is working the 3 months a… https://t.co/ZREySTLq2c,"['joebiden', 'barackobama', 'working', '9', 'month', 'year', 'hard', 'thing', 'easier', 'working', '3', 'month']"
stephen_of_borg,@JoeBiden @BarackObama https://t.co/zxgexS5r4P,"['joebiden', 'barackobama']"
JamesCl26743377,@JoeBiden @BarackObama This is a total staged call what a scam! These 2 guy’s are crooks from the word go!,"['joebiden', 'barackobama', 'total', 'staged', 'call', 'scam', '2', 'guy', 'brook', 'word', 'go']"
MichaelYacko5,@JoeBiden @BarackObama Obama The Most Corrupt Non President Ever,"['joebiden', 'barackobama', 'obama', 'corrupt', 'non', 'president', 'ever']"
HarifHerbie,"@JoeBiden @BarackObama Just wondering how many grocery store workers have you called who keep food on shelves,truck… https://t.co/VVQyhYEfgM","['joebiden', 'barackobama', 'wondering', 'many', 'grocery', 'store', 'worker', 'called', 'keep', 'food', 'shelf', 'truck']"
Mindbridge,"@JoeBiden @BarackObama Nice, guys.","['joebiden', 'barackobama', 'nice', 'guy']"
kim20drain,@JoeBiden @BarackObama Confused as to why Biden has to have Obama doing his  campaigning and talking to voters. Wha… https://t.co/8fMFjEMsrW,"['joebiden', 'barackobama', 'confused', 'biden', 'obama', 'campaigning', 'talking', 'voter', 'wha']"
MADEINU34619194,"@JoeBiden @BarackObama Meanwhile, Biden be like... https://t.co/nwLdtqTAW2","['joebiden', 'barackobama', 'meanwhile', 'biden', 'like']"
